,text,0,1,2,3,4
0,"Литературный критик Галина Юзефович о новом романе петербуржца Александра Пелевина «Покров-17»: «Главное достоинство ""Покрова-17"" все же состоит в том, что в первую очередь это хорошо придуманная и умело выстроенная книга, читать которую захватывающе интересно с самого начала и до самого конца».  https://mdza.io/WviVqe-1YNU",0.0,0.0,0.0,0.0,0.0
1,"Группа добровольцев-медиков из Чеченской Республики наравне с силовиками вносит свою лепту в наше общее дело - освобождение Украины и Донбасса от бандеровских мразей, нациков и подлых шайтанов. ⠀ В Мариуполе врачи Республиканской станции скорой медицинской помощи и Республиканского центра медицины катастроф имени Ахмата Кадырова оказывают квалифицированную медпомощь как российским военнослужащим, так и мирным жителям.",1.0,1.0,1.0,1.0,1.0
2,"ВСУшники, переходите на сторону добра, у нас тепло и вкусные печеньки.",1.0,1.0,1.0,1.0,1.0
3,"Наши ребята столкнулись с полком «Азов» и морской пехотой ВСУ, и внезапно для меня оказалось, что вся украинская армия действительно готова воевать за «Бандеровские ценности».",1.0,1.0,1.0,1.0,1.0
4,Ну и киношка на норвежском https://m.youtube.com/watch?feature=youtu.be&v=ViVg7o3htaU,0.0,0.0,0.0,0.0,0.0
5,Программа «импортозамещения микросхем» — блеф?   Начнём с актуального кино.,0.0,0.0,0.0,0.0,0.0
6,"Оно провалилось, но укровояки хвалились тем, что якобы нанесли нашим ""существенные потери"" и заставили ""занять оборону на невыгодных недооборудованных рубежах"".",1.0,1.0,1.0,1.0,1.0
7,"⚡️ВСУ нанесли артиллерийский удар по больнице в Донецке, ранены трое мирных жителей  Украинские боевики обстреляли Республиканскую клиническую психиатрическую больницу по ул.",1.0,1.0,1.0,1.0,1.0
8,"Война до последнего украинца – это вовсе не выдумки России, это та правда, скрывать которую не считают нужным даже хозяева бандеровцев.",1.0,1.0,1.0,1.0,1.0
9,"Применение Коллективных сил Организации Договора о коллективной безопасности на Украине не рассматривается, заявил заместитель генерального секретаря ОДКБ Валерий Семериков.",0.0,0.0,0.0,0.0,0.0
10,"Пассажирский самолёт Ил-62М Минобороны России из состава группы обеспечения визита Ту-160 в ЮАР покинул авиабазу ""Уотерклуф"".",0.0,-1.0,0.0,-1.0,0.0
11,Бергман и хохол в комментариях   @rosich_ru,1.0,-1.0,1.0,-1.0,1.0
12,Жители Харькова пишут в соцсетях о массированных обстрелах военных объектов в городе и окрестностях.  ▫️Изюмско-Славянский фронт ВСУшники продолжают обстреливать Балаклею и пытаться пролезть за мелеющий Северский Донец — наши не дремлют и пресекают.,1.0,-1.0,1.0,-1.0,1.0
13,Хохлы ударили по аэродрому Джанкой.,1.0,-1.0,1.0,-1.0,1.0
14,Мне кажется хохловыблядков будет ждать теплое утро.,1.0,-1.0,1.0,-1.0,1.0
15,🇺🇦 Массовых мероприятий к 75-летию Победы на Украине не будет – премьер Денис Шмыгаль.,0.0,1.0,0.0,0.0,0.0
16,Замначальника Куйбышевской железной дороги Дмитрий Атякин и еще два человека заподозрены в получении особо крупной взятки.,0.0,0.0,0.0,0.0,0.0
