,text,0,1,2,3,4
0,"Всвязи с этим немного поправлю коллег ⤵️  ""Они не будут начинать ядерный армагеддон"" не только из-за вероятно созданной ими же диверсии в Польше, но и полагаю, не будут ничего делать, даже если мы нанесем осознанный удар ТЯО по Львовской рублевке или польскому логистическому центру, через который отправляют вооружение со всей европы в укро-рейх.",1.0,1.0,1.0,1.0,1.0
1,"Почему на базах неонацистов стоят языческие истуканы?  Гость студии: протоиерей Андрей Ткачев  Видеотрансляция на платформе СМОТРИМ, в Телеграм канале Радио России и на странице ВКонтакте   Номер для сообщений: +7-925-222-99-92  @radiorossii",1.0,1.0,1.0,1.0,1.0
2,"Значит всё прекрасно понимает, включая необходимость силового решения и капитуляции укронацистов.",1.0,1.0,1.0,1.0,1.0
3,Западный мем о степени правдивости пропаганды салорейха.,0.0,0.0,0.0,1.0,1.0
4,"‼️🇺🇦🇮🇱""Зачем нужны все эти укронацисты у нас в стране? Вам тут что, свалка по переработке отходов?"" — израильтянин возмутился политикой свой страны по приёму украинских беженцев.",1.0,1.0,1.0,0.0,0.0
5,"В этом списке есть Кум, есть уважаемые партнеры (киевские и западные), есть Моргенштерн и Даня Милохин в женском прикиде, есть фанерный рейхстаг и ракеты под хохлому, а русских нет.",0.0,0.0,1.0,1.0,1.0
6,🇷🇺🇺🇦Боевые сводки по Харьковскому направлению  ▪️Недельное стягивание мобилизованных укронацистов позволило ВСУ предпринять «рывок последней надежды» в сторону Балаклеи.,1.0,1.0,1.0,1.0,1.0
7,"Бандеропитеки  (род ископаемых  приматов, обладавших признаками прямохождения) где-то в лесах Харьковской области.",1.0,1.0,1.0,1.0,1.0
8,"Фронтовая зарисовка — суетящиеся в окопе укронацисты жалуются на ""кошмарящую"" их русскую ""сушку"".  @voenkorKotenok",1.0,1.0,1.0,1.0,1.0
9,"На кадрах видно, что дрон сначала зафиксировал местоположение украинских неонацистов, после чего их позиции были уничтожены с помощью артиллерийского удара.",1.0,1.0,1.0,1.0,1.0
10,Подбитая БРДМ-2 укрорейха.  #фотошурави,1.0,1.0,1.0,1.0,1.0
11,💥ВС РФ уже два дня бьют по Печенежской дамбе  Нарушение работы дамбы в Печенегах (Харьковская область) разрушает укронацистские переправы и планы по оккупации освобожденных городов.,1.0,1.0,1.0,1.0,1.0
12,"Каково же было удивление злорадствующих укропитеков, когда они выяснили что и самолет они сбили свой.  2:0 в свои ворота.  @opersvodki",1.0,1.0,1.0,1.0,1.0
13,"Мобики 2-го батальона 56-й бригады ВСУ жалуются, что их без подготовки и соответствующей экипировки кинули на Пески, где у хохловермахта посыпался фронт",1.0,1.0,1.0,1.0,1.0
14,"Неонацистская террористическая организация «М. К. У»* готовит теракты, взрывы и массовые расправы.",1.0,1.0,0.0,1.0,1.0
15,Нацисты-бандеровцы устроили геноцид и не только в Донбассе.,1.0,1.0,1.0,1.0,1.0
16,‼️Флаг ДНР торжественно развевается над портом Мариуполя В настоящее время стратегически важный объект полностью зачищен от украинских неонацистов / iz.ru/. t.me/RVvoenkor,1.0,1.0,1.0,1.0,1.0
17,"Никто не забыт, ничто не забыто! Донбасс ответит укронацистам за каждую смерть!  https://www.youtube.com/watch?v=gwUjR6t-FGA",1.0,1.0,1.0,1.0,1.0
18,"И все в том же духе - всемирно известная хохляцкая оратория под названием ""А нас то за що???""  И смех, и грех, не смеяться уже просто невозможно, хотя трагизм ситуации и зашкаливает, но вот такого психологического феномена, как полное отрицание действительности, полный отказ от логики, полное непонимание того, что такое причинно-следственные связи, который демонстрируют хохлопитеки, я в реальной жизни не встречала даже у самодовольных, уверенных в своей исключительности американцев... просто уникальная нация, этот политический украинец.",1.0,1.0,1.0,1.0,1.0
19,"""Огонь, огонь! РПГ не заряжай, заряжай второй, Матёрый!""  Укронацисты  хреначат из шведских гранатомётов NLAW прямо с крыши жилого дома  Примерно это и называется ""прикрываться живым щитом"".",1.0,1.0,1.0,1.0,1.0
20,"Они имеют отношение к неонацистской группировке ""Национал-социалисты Белая сила"" так называемой, неонацистская структура"", - рассказал Бортников.  @smotrim_ru",1.0,1.0,0.0,-1.0,1.0
21,"Украинские боевики открыто ведут огонь по позициям войск РФ и гражданской инфраструктуре, провоцируя ответный огонь.  ▪️Крыша Одесского театра музыкальной комедии была оборудована расчетами ПЗРК. Вокруг здания сконцентрирована тяжелая бронетехника.  ▪️Частный сектор в Черкассах превращен в огневые позиции для артиллерии и РСЗО укронацистов.",1.0,1.0,1.0,-1.0,1.0
22,Минус очередная располага укронацистов https://t.me/sashakots/32576,1.0,1.0,1.0,-1.0,1.0
23,Гауляйтер укронацистов при этом отшучивается и не хочет объяснить.,1.0,1.0,1.0,-1.0,1.0
24,"Неонацистская хунта в Киеве эти сигналы Запада слышит и действует соответственно"", — написал Клишас в своем телеграм-канале.",1.0,1.0,1.0,-1.0,1.0
25,"По всей видимости, боевики-неонацисты, которые базировались в этом доме - не особенно церемонились с собственными сослуживцами.",1.0,1.0,1.0,1.0,1.0
26,⚡️Спецназ ФСБ совместно с полицейскими задержал шестерых проукраинских неонацистов из запрещённой в РФ группировки «Национал-социализм / Белая сила» под Ростовом-на-Дону.,1.0,1.0,1.0,1.0,1.0
27,Хотя жителям укрорейха это сейчас объяснять бесполезно.,0.0,1.0,0.0,1.0,1.0
28,"Мы не пьём там, где пьют бандерлоги, не двигаемся по их дорогам, не охотимся там, где они, не умираем там, где умирают бандерлоги.",1.0,1.0,1.0,1.0,1.0
29,"Вон укропитеки, по науськиванию своих американских и британских хозяев 8 лет, как долдоны твердили одно и то же: ""Россия агрессор, оккупант.",1.0,1.0,1.0,1.0,1.0
30,Чтобы в очередной раз весь мир убедился в неадекватности укронацистов.,1.0,1.0,1.0,1.0,1.0
31,"Сегодня, кстати, Прекрасные Эльфы будут оплакивать не только эсэсовский полк ""Навоз"", ""запечатанный"" Силой Z в Мариуполе, но и безвременную кончину лучшего друга Салорейха Бориса Немцова.",0.0,0.0,1.0,1.0,1.0
32,Украинских неонацистов ждёт трибунал.,1.0,1.0,1.0,1.0,1.0
33,"Бандера, которого они почитают, был настоящим нацистом, а они сделали из него национального героя и символ.",1.0,1.0,1.0,1.0,1.0
34,Что в целом не мешает укронацистам заниматься этим трупоедством до сих пор.,1.0,1.0,1.0,1.0,1.0
35,"Судя по кадрам из Северска, укронацисты оборудовали огневые точки в высотках в восточной части города.",1.0,1.0,1.0,1.0,1.0
36,В Беларуссии готовятся к провокациям укронацистов?   Осташко! Важное - подпишись,1.0,1.0,1.0,1.0,1.0
37,"Все ВСУ, НГУ, СБУ  - укронацисты, пока не будет доказано обратного.",1.0,1.0,1.0,1.0,1.0
38,"Этот мем, который берет свое начало с данного видео напуганного нашими бомбардировщиками укронациста.",1.0,1.0,1.0,1.0,1.0
39,"Батюшка ещё в 1990-х предсказал и эту войну, и возвращение нацистов: «Когда помру, закопайте меня поглубже, чтобы бандеровцы не выкопали».",1.0,1.0,1.0,1.0,1.0
40,"Восточный фронт урорейху уже не интересен, с этим связаны последние обстрелы Донецка, зачистка «азовцев» и быстрая сдача краматорской линии.",1.0,1.0,1.0,1.0,1.0
41,"Ну, если можно как-то еще более усугубить отношение пророссийских граждан на оккупированной укронацистами территории Новороссии к нынешней ситуации после ухода из-под Киева и Сум - так это поменять Медведчука.",1.0,1.0,1.0,1.0,1.0
42,Минобороны России — о действиях украинских неонацистов.,1.0,1.0,1.0,1.0,1.0
43,"Окраины Щурово  Мы продолжаем фиксировать факты бесчинств ВСУ. Каждый гражданский дом, каждый пансионат, все превращено в укреп-район и расположение киевских неонацистов.  ""Народная милиция ЛНР""",1.0,1.0,1.0,1.0,1.0
44,"Если они не подчинятся приказу и не передислоцируются в точку 100% смерти от оружия ЛДНР и России, то их будут считать преступниками, самовольно покинувшими службу, со всеми последующими «посиделками» в подвалах СБУ.  Даже несмотря на то, что за отказ подчиниться идти на смерть ВСУшников ждёт тюрьма или смерть от психопатов из СБУ, солдаты укрорейха решили написать рапорта о невозможности воевать на передовой и просят отправить их подальше от линии соприкосновения «в связи с морально-психологичным и физическим состоянием здоровья»…  Ждём фидбека от Арестовича в стиле: «Боевой дух укрогероев настолько высокий, что его видно со Статуи Свободы».",1.0,1.0,1.0,1.0,1.0
