nl Word	English verb	P(w->t)	P(w->a)	P(a->t)	E(t)	E(a)	V(t)	V(a)	S(t)	S(a)
opgedrukt	label	0	0	0	0	0	1	0	0	0
diervoederhygiëne	feed	1	1	1	1	0	1	1	1	1
boerenhandel	move	0	0	0	1	0	1	1	0	0
ontwerprichtlijn	draft	1	1	1	1	1	1	1	0	1
scheuring	split	1	0	1	-1	0	1	1	-1	1
instandhoudingsplan	be	0	1	0	0	0	0	1	0	1
verdubbeling	double	0	0	1	1	1	0	1	0	1
Pronk	do	1	1	1	0	0	1	1	0	1
digitaal	become	0	0	0	0	0	0	1	0	0
afschrikkingsmiddel	intend	0	0	0	1	0	1	1	0	1
Doñana	park	0	0	0	0	0	1	1	0	1
standaardvergoeding	be	0	1	0	0	0	0	1	0	1
AIDS-gevallen	calculate	0	1	0	0	0	0	1	0	0
impotente	become	0	0	0	0	0	0	1	0	0
terugslaan	back	1	1	1	1	1	1	1	1	1
Westers	state	0	1	1	1	0	1	1	0	0
vervoederen	feed	1	1	1	1	0	1	1	1	1
bijscholingen	train	1	1	1	1	1	1	1	1	1
verser	look	0	1	1	0	0	0	1	0	1
galerieën	be	0	1	0	0	0	0	1	0	1
terugslaat	back	1	1	1	1	1	1	1	1	1
volgroeid	mature	0	1	0	1	0	1	1	0	0
Euro	be	0	1	0	0	0	0	1	0	1
privélevens	live	1	1	1	1	1	1	1	0	1
oplopende	rise	1	1	0	1	0	1	1	0	0
opleidingstoerisme	avoid	-1	1	-1	0	1	-1	1	0	1
Unie-Marokko	vote	0	0	0	1	1	1	1	0	0
Senaat	have	1	1	1	0	0	1	1	0	1
wereldvisie	view	0	0	0	1	0	1	1	0	0
verslag-Solana	report	0	0	-1	1	0	0	1	0	-1
belastingsector	field	0	0	1	1	1	1	1	0	0
1-regio	provide	1	1	1	1	1	1	1	0	1
begrotingen	state	0	1	1	1	0	1	1	0	0
fractiegenoten	group	0	0	0	1	1	0	1	0	1
zittingsperiodes	term	1	1	0	1	1	1	0	0	0
tussentaal	be	0	1	0	0	0	0	1	0	1
Miert	be	0	1	0	0	0	0	1	0	1
verbanden	link	1	1	1	1	1	1	1	0	0
vraagrecht	put	1	1	1	0	1	1	1	0	1
Ecofin-ministers	fly	0	1	1	0	0	0	1	0	1
terugloopt	be	0	1	0	0	0	0	1	0	1
exportsteun	export	0	0	1	0	1	1	1	0	1
ambtsberichten	report	0	0	-1	1	0	0	1	0	-1
milieuvernietiging	enjoy	1	1	1	1	1	1	1	1	1
invloedssfeer	influence	0	0	0	0	0	1	1	0	0
voltijdfunctie	create	1	1	0	1	1	1	1	0	0
adviseert	recommend	1	1	1	1	1	1	1	1	1
dekkings-	aim	0	0	0	1	1	0	1	0	1
regulier	do	1	1	1	0	0	1	1	0	1
27%	say	0	0	0	0	0	0	1	0	0
magneet	gain	1	1	1	1	1	1	1	0	1
topbijeenkomsten	hold	0	1	1	1	1	1	1	0	1
marktgewicht	propose	0	1	1	1	0	0	1	0	1
270	be	0	1	0	0	0	0	1	0	1
272	keep	1	1	1	0	1	1	1	1	1
273	start	1	1	1	1	1	1	1	0	1
274	term	1	1	0	1	1	1	0	0	0
275	be	0	1	0	0	0	0	1	0	1
276	derive	1	1	1	0	1	1	1	0	1
opmerking	comment	0	0	0	0	0	1	1	0	1
handelingsruimte	be	0	1	0	0	0	0	1	0	1
gelijkheidsaspecten	require	0	1	1	0	1	1	1	0	0
medebeslissings-	be	0	1	0	0	0	0	1	0	1
tehuis	begin	1	1	1	1	0	1	1	0	1
diskwalificeren	disqualify	0	-1	1	1	0	1	1	-1	0
Carter-centrum	adopt	1	1	1	1	1	1	1	0	1
rechterlijke	court	1	1	1	1	1	1	1	1	1
jachtgewoonten	help	1	1	0	1	0	1	1	1	0
voorbehouden	reserve	0	0	1	0	1	1	1	0	1
binnentrok	accord	1	0	0	1	0	1	1	0	1
databank	base	0	1	1	1	1	1	1	0	1
onwelgevallig	do	1	1	1	0	0	1	1	0	1
machinisten	train	1	1	1	1	1	1	1	1	1
sanctiesysteem	sanction	0	-1	-1	-1	0	1	1	0	1
inspectieteam	team	0	0	0	1	1	0	1	0	1
mailings	be	0	1	0	0	0	0	1	0	1
correctheid	correct	0	0	0	1	0	1	1	0	0
omwenteling	change	0	1	0	1	0	1	1	0	1
vrijhandelsbetrekkingen	free	1	1	1	1	1	1	1	1	1
Parmalat	be	0	1	0	0	0	0	1	0	1
voorwaardelijkheid	authorize	1	1	1	1	1	1	1	0	1
ontwerpaanbeveling	draft	1	1	1	1	1	1	1	0	1
ingelicht	inform	1	1	1	1	0	1	1	1	0
ontsnapping	escape	-1	0	-1	0	1	-1	1	0	1
ambtsdrager	blow	0	0	0	0	0	0	1	0	0
visumkwestie	issue	0	0	0	1	0	1	1	0	0
ultraliberalen	provide	1	1	1	1	1	1	1	0	1
vervuiling	pollute	0	-1	0	-1	0	1	-1	0	0
belastingpositie	deny	0	0	-1	-1	0	1	1	0	-1
sectorrichtlijn	be	0	1	0	0	0	0	1	0	1
rebellentroepen	rebel	0	0	0	-1	0	1	1	-1	1
nomaden	set	0	0	1	1	1	1	1	0	1
toetredingsaktes	place	0	0	1	1	1	1	1	0	1
loopje	ride	0	0	0	0	1	1	1	0	1
vossenfokkerijen	farm	0	1	1	1	1	1	1	0	1
controverse	dispute	0	0	-1	-1	-1	1	1	0	-1
salarislasten	wage	0	1	1	1	1	1	1	0	1
vlugge	need	0	1	1	0	0	1	1	0	0
toestel	manufacture	1	1	1	1	1	1	1	0	1
milieu-acquis	regard	1	1	1	1	1	1	1	1	1
verdragszone	land	0	0	1	0	0	1	1	0	1
tabaksfabrikaten	manufacture	1	1	1	1	1	1	1	0	1
Schüssel	count	0	0	1	1	1	1	1	0	1
-ondernemingen	reveal	0	0	0	1	0	1	1	0	0
Israëli's	prevent	0	0	0	-1	0	1	1	-1	0
communicatiekanaal	channel	0	0	0	0	0	0	1	0	0
buitengrensbewaking	border	0	0	0	0	0	0	0	0	0
91/628	position	0	0	0	1	0	1	1	0	0
sterf	die	0	1	0	-1	-1	1	1	0	-1
vrouwendebat	debate	0	1	0	1	1	1	1	0	0
ontstaan	arise	0	0	0	0	0	1	1	0	0
veranderlijke	obstruct	0	0	-1	-1	0	1	0	0	0
specificatie-eisen	account	0	0	0	0	0	1	1	0	0
hoogwaterprobleem	water	0	-1	0	-1	0	1	1	0	1
ontstaat	be	0	1	0	0	0	0	1	0	1
moordpraktijken	spawn	0	0	0	0	1	1	0	0	1
onbepaalde	die	0	1	0	-1	-1	1	1	0	-1
geldpers	print	1	0	1	0	1	0	1	0	1
Ranariddh	represent	0	1	0	1	0	1	1	0	0
duale	justify	0	0	1	1	1	1	1	0	1
zodadelijk	come	0	1	0	0	0	0	1	0	0
oorlogsinspanningen	be	0	1	0	0	0	0	1	0	1
liberalistische	be	0	1	0	0	0	0	1	0	1
uitgavenprogramma	spend	0	1	0	0	0	0	1	0	0
-olie	be	0	1	0	0	0	0	1	0	1
doelstelling-1-regio	be	0	1	0	0	0	0	1	0	1
schrapping	delete	0	0	-1	-1	0	1	1	0	1
tijdgrens	time	0	0	1	0	1	0	1	0	1
onnodige	impose	0	0	1	1	1	0	1	0	1
handdoek	throw	0	0	0	0	0	1	1	0	1
bodemloos	pour	0	1	1	1	0	1	1	0	1
informatieaanvragen	request	0	0	1	0	1	1	1	0	1
onderschrijft	support	1	1	1	1	0	1	1	1	1
ruimtetransportsysteem	keep	1	1	1	0	1	1	1	1	1
noordelijkste	draw	0	0	1	1	1	1	0	0	0
vertaalbaar	be	0	1	0	0	0	0	1	0	1
eetstoornissen	eat	0	1	1	-1	1	1	1	0	1
archieven	file	0	1	0	0	0	1	1	0	0
ofte	put	1	1	1	0	1	1	1	0	1
loftrompet	praise	1	1	1	1	1	1	1	1	1
contexten	respond	0	1	0	0	0	1	1	0	1
wand	write	1	1	1	1	1	1	1	0	1
Samenwerking	map	0	0	0	0	0	1	1	0	1
zedenprekerig	like	1	1	1	1	0	1	1	1	1
doorverkooprecht	satisfy	1	1	0	1	0	1	1	1	1
handelsrecht	trade	0	1	1	1	1	1	1	0	1
zieken-	care	1	1	1	1	0	1	1	0	1
Ispra	question	0	0	1	1	1	1	1	0	1
gezinsvriendelijk	be	0	1	0	0	0	0	1	0	1
luchtverkeersleidingssystemen	control	1	0	1	0	1	1	1	0	1
bewust	know	1	1	1	0	1	1	1	0	1
accijnsstelsels	narrow	1	0	0	0	0	1	1	0	0
travel	travel	1	1	1	0	1	0	1	0	1
prostituee	be	0	1	0	0	0	0	1	0	1
netwerkindustrieën	make	0	0	0	1	0	0	1	0	0
elitaire	look	0	1	1	0	0	0	1	0	1
ontrokken	be	0	1	0	0	0	0	1	0	1
paraatheidsoefeningen	plan	1	1	1	1	1	1	1	0	1
reuzensprong	leap	0	0	0	0	0	1	1	0	0
stroomverbruik	do	1	1	1	0	0	1	1	0	1
kalenderjaar	try	0	1	1	0	1	1	1	0	0
omschakelingsplannen	plan	1	1	1	1	1	1	1	0	1
machtsplan	shape	1	1	0	1	1	1	1	0	0
energiemix	mix	0	0	0	1	1	0	1	0	1
aquacultuurproducten	make	0	0	0	1	0	0	1	0	0
hervorming.	reform	1	1	0	1	0	1	1	0	1
vervangingsbeginsel	exhibit	0	0	0	0	1	1	1	0	1
indrukken	down	0	0	0	0	0	0	1	0	0
gewapenderhand	force	0	0	0	-1	0	1	0	-1	0
stollen	consider	1	1	1	1	1	1	1	0	1
schuldenvraagstuk	issue	0	0	0	1	0	1	1	0	0
eenheidsbeleid	form	1	1	1	1	1	1	1	0	1
procentpunten	point	0	0	0	0	1	0	1	0	0
CFO	be	0	1	0	0	0	0	1	0	1
bestrijdingsmethode	combat	0	0	0	-1	0	1	1	0	0
CFK	make	0	0	0	1	0	0	1	0	0
integratiewens	integrate	1	0	0	1	1	1	1	0	0
Douanewetboek	code	1	1	0	1	0	1	1	0	0
spijten	regret	-1	0	-1	-1	-1	-1	1	0	-1
CFA	intend	0	0	0	1	0	1	1	0	1
aangegane	make	0	0	0	1	0	0	1	0	0
