word;polarity
абажур;-1
абориген;-1
аборт;-1
абортивный;0
абортивный;-1
абортивный;0
абортивный;0
абсолютный;0
абсолютный;0
абсолютный;0
абстрактный;0
абстрактный;0
абстрактный;0
абстрактный;0
абстрактный;0
абстрактный;0
абсурд;-1
абсурд;-1
абсурд;-1
абсурдность;-1
абсурдность;-1
абсурдность;0
абсурдность;-1
абсурдность;-1
абсурдность;0
абсурдность;-1
абсурдный;-1
абсурдный;-1
абсурдный;-1
абхаз;0
абхаз;0
абхаз;-1
абхаз;0
абхазия;0
абхазия;0
абхазия;0
абхазский;0
абхазский;0
абхазский;0
абхазский;0
абхазский;0
авантюра;-1
авантюра;-1
авантюра;-1
авантюрист;0
авантюрист;-1
авантюрист;-1
авантюрист;-1
авантюрный;0
авантюрный;-1
авантюрный;-1
аварийность;-1
аварийность;-1
аварийность;-1
аварийный;-1
аварийный;-1
аварийный;-1
авария;-1
авария;0
авария;-1
авария;0
авария;-2
авиакатастрофа;0
авиакатастрофа;-1
авиакатастрофа;0
авиакатастрофа;-1
авиакатастрофа;0
авиакатастрофа;0
авиакатастрофа;0
авианосец;0
авианосец;0
авианосец;0
авиация;0
авиация;0
авиация;0
авитаминоз;0
авитаминоз;0
авитаминоз;0
аврал;0
аврал;-2
аврал;-1
аврал;0
аврал;0
австралийский;0
австралийский;0
австралийский;0
австралийский;0
австралийский;0
австралия;0
австралия;0
австралия;0
австрийский;0
австрийский;1
австрийский;0
австрия;0
австрия;0
австрия;0
австрия;0
австрия;0
австрия;0
авто;0
авто;0
авто;0
авто;0
авто;0
авто;0
авто;1
автобус;0
автобус;0
автобус;0
автомат;0
автомат;0
автомат;0
автоматический;0
автоматический;0
автоматический;0
автомобилист;0
автомобилист;0
автомобилист;0
автомобилист;0
автомобиль;0
автомобиль;-1
автомобиль;0
автомобиль;0
автомобиль;0
автомобиль;1
автомобильный;0
автомобильный;0
автомобильный;0
автономный;0
автономный;0
автономный;0
автор;0
автор;0
автор;0
автор;0
автор;0
авторитаризм;0
авторитаризм;0
авторитаризм;1
авторитаризм;0
авторитарность;0
авторитарность;-2
авторитарность;-1
авторитарный;-1
авторитарный;0
авторитарный;0
авторитет;0
авторитет;-1
авторитет;1
авторитет;0
авторитетный;1
авторитетный;2
авторитетный;1
авторитетный;1
авторский;0
авторский;0
авторский;0
авторство;0
авторство;0
авторство;0
ага;0
ага;0
ага;-1
агент;0
агент;0
агент;0
агитационный;0
агитационный;0
агитационный;0
агитационный;0
агитация;0
агитация;0
агитация;0
агитка;0
агитка;0
агитка;-1
агония;-2
агония;-1
агония;-1
агрессивность;-1
агрессивность;0
агрессивность;-1
агрессивность;-1
агрессивность;-1
агрессивный;-1
агрессивный;-1
агрессивный;-1
агрессивный;-1
агрессивный;-1
агрессия;0
агрессия;-2
агрессия;-2
агрессия;-2
агрессор;-1
агрессор;-1
агрессор;-1
адаптация;0
адаптация;0
адаптация;0
адаптация;-1
адаптация;0
адаптация;0
адаптироваться;0
адаптироваться;0
адаптироваться;0
адвокат;0
адвокат;0
адвокат;0
адекватность;0
адекватность;0
адекватность;1
адекватность;1
адекватность;0
адекватный;1
адекватный;0
адекватный;1
адекватный;1
адекватный;1
адекватный;1
административный;0
административный;0
административный;0
административный;0
администрация;0
администрация;0
администрация;0
адмирал;0
адмирал;0
адмирал;0
адмирал;0
адмирал;0
адмирал;0
адов;-2
адов;-2
адов;-2
адов;-2
адовый;-1
адовый;-2
адовый;-1
адрес;0
адрес;0
адрес;0
адский;-1
адский;-1
адский;-1
адский;-1
адский;-1
ажиотаж;-1
ажиотаж;-1
ажиотаж;0
ажиотаж;0
ажиотаж;-1
ажиотаж;0
азиат;0
азиат;0
азиат;-1
азиат;-1
азиат;0
азиат;0
азиатский;0
азиатский;-1
азиатский;-1
азиатский;0
азиатский;0
академик;0
академик;0
академик;1
академический;0
академический;0
академический;-1
академия;0
академия;0
академия;0
академия;0
академия;0
акбар;0
акбар;0
акбар;0
аккуратненький;1
аккуратненький;-1
аккуратненький;-1
аккуратность;1
аккуратность;0
аккуратность;1
аккуратный;1
аккуратный;1
аккуратный;0
акт;0
акт;0
акт;0
акт;0
акт;0
актив;0
актив;0
актив;0
актив;0
актив;0
актив;0
активист;1
активист;0
активист;0
активность;0
активность;0
активность;0
активность;0
активный;0
активный;-1
активный;0
актуальность;0
актуальность;0
актуальность;0
актуальный;0
актуальный;1
актуальный;0
актуальный;0
акушерка;0
акушерка;0
акушерка;1
акушерка;0
акционер;0
акционер;0
акционер;0
акция;0
акция;0
акция;0
акция;0
акция;0
албания;0
албания;0
албания;0
алексей;0
алексей;0
алексей;0
алкаш;-1
алкаш;-2
алкаш;-2
алкаш;-1
алкаш;-2
алкаш;-2
алкаш;-1
алкоголизм;0
алкоголизм;-1
алкоголизм;-2
алкоголик;-1
алкоголик;-1
алкоголик;-2
алкоголик;0
алкоголик;-1
алкоголичка;-1
алкоголичка;-1
алкоголичка;-1
алкоголь;0
алкоголь;0
алкоголь;0
алла;0
алла;0
алла;0
алла;0
аллах;1
аллах;0
аллах;0
алчность;-1
алчность;-1
алчность;-1
алчность;-1
альбац;0
альбац;0
альбац;0
альбац;0
альтернатива;0
альтернатива;1
альтернатива;0
альтернатива;0
альтернативный;0
альтернативный;0
альтернативный;0
алюминиевый;0
алюминиевый;0
алюминиевый;0
аляска;0
аляска;0
аляска;0
аляска;0
аляска;0
амбициозный;1
амбициозный;1
амбициозный;0
америка;0
америка;0
америка;0
американец;0
американец;-1
американец;0
американка;0
американка;0
американка;0
американский;0
американский;0
американский;0
амнистия;1
амнистия;0
амнистия;0
аморальность;-1
аморальность;-1
аморальность;0
аморальность;-1
аморальный;-2
аморальный;-1
аморальный;-2
ампутировать;0
ампутировать;-2
ампутировать;-1
амур;0
амур;0
амур;0
амур;1
амур;0
амур;0
анализ;0
анализ;0
анализ;0
аналог;0
аналог;0
аналог;0
аналогичный;0
аналогичный;0
аналогичный;0
анальный;0
анальный;-1
анальный;-1
анархизм;0
анархизм;0
анархизм;-1
анархизм;-1
анархизм;-1
анархизм;0
анархия;-2
анархия;0
анархия;-1
анафема;-1
анафема;0
анафема;-1
ангина;0
ангина;0
ангина;-1
ангина;0
ангина;0
ангина;-1
английский;0
английский;0
английский;0
англичанин;0
англичанин;0
англичанин;0
англичанка;-1
англичанка;0
англичанка;0
англичанка;0
англия;0
англия;0
англия;0
англия;0
англия;0
андрей;0
андрей;0
андрей;0
андропов;0
андропов;0
андропов;-1
анекдот;0
анекдот;0
анекдот;0
анекдот;0
анкета;0
анкета;0
анкета;0
анкета;0
анкета;0
аномалия;-1
аномалия;-1
аномалия;0
аномалия;0
антагонизм;-1
антагонизм;0
антагонизм;0
антагонизм;0
антагонизм;-1
антикоррупционный;1
антикоррупционный;0
антикоррупционный;1
антикоррупционный;1
антинаркотический;0
антинаркотический;0
антинаркотический;0
антинародный;-1
антинародный;-1
антинародный;-1
антинародный;-2
антипатия;0
антипатия;-1
антипатия;0
антипатия;-1
антисанитария;-1
антисанитария;-2
антисанитария;-1
антисанитария;-1
антисанитария;-1
антисанитария;0
антисемитизм;-2
антисемитизм;-1
антисемитизм;-1
антитеррористический;0
антитеррористический;0
антитеррористический;1
антифашистский;0
антифашистский;0
антифашистский;0
анус;-2
анус;-1
анус;-2
анус;0
анус;-1
апартеид;-1
апартеид;0
апартеид;0
апатия;-1
апатия;-1
апатия;0
апатия;-1
апатия;-1
аппетитный;0
аппетитный;1
аппетитный;1
араб;0
араб;-1
араб;0
араб;0
араб;0
арабский;0
арабский;0
арабский;0
аравия;0
аравия;0
аравия;0
аренда;0
аренда;0
аренда;0
аренда;0
аренда;0
арест;-2
арест;0
арест;0
арестовывать;0
арестовывать;0
арестовывать;0
арестовывать;0
арестовывать;-2
аристократ;2
аристократ;0
аристократ;0
аристократический;1
аристократический;0
аристократический;0
арктика;0
арктика;0
арктика;0
армейский;0
армейский;0
армейский;0
армейский;0
армия;0
армия;0
армия;0
армянин;0
армянин;0
армянин;0
аромат;0
аромат;0
аромат;-1
артиллерия;0
артиллерия;0
артиллерия;0
архаичный;0
архаичный;0
архаичный;-1
архаичный;-1
архаичный;0
архив;0
архив;-1
архив;1
архиерей;-1
архиерей;0
архиерей;0
архиерей;0
асад;0
асад;0
асад;0
асад;0
асоциальный;-1
асоциальный;0
асоциальный;0
ассортимент;0
ассортимент;0
ассортимент;0
ассортимент;0
ассортимент;0
ассортимент;0
ассортиментный;0
ассортиментный;0
ассортиментный;0
ассоциация;0
ассоциация;0
ассоциация;0
